x	
Comp/NLP	128
English	92
General	82
Applied	77
Cog/Psych/Neuro	63
Acquisition	53
Spanish	41
Syntax	32
Phonetics	31
Phonology	29
French	25
German	23
Arabic	22
Semantics	22
Chinese	17
Socioling	17
Historical	11
Morphology	10
