FIELD	NUMBER
Comp/NLP	86
Applied	85
English	62
General	59
Acquisition	45
Syntax	34
Cog/Psych/Neuro	34
Sociolinguistics	25
Spanish	24
Phonology	23
Phonetics	21
Translation	20
Arabic	18
Chinese	18
German	18
Semantics	16
French	14
TESOL/ESL	14
Discourse	11
Historical	11
Pragmatics	9
Second	9
