FIELD	NUMBER
Applied	202
Comp/NLP	191
General	172
English	147
Acquisition	115
Psych/Cog/Neuro	115
Phonetics	84
Phonology	79
Syntax	60
Sociolinguistics	56
Semantics	55
Spanish	54
Text/Corpus	50
German	39
French	31
Translation	31
Historical	27
Morphology	26
Literature	25
Discourse	21
Chinese	20
Lexicography	20
Anthropology	17
Mandarin	16
Pragmatics	15
Speech	14
Documentation	14
Korean	12
Japanese	11
Portuguese	11
Typology	11
ESL	10
Russian	10
